XDIS-ASCII-Export of ASP.webview_cores_view_aspx, created on 11/15/2017 11:08:26 AM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	TOP_DEPTH	DRILLED_LENGTH	BOTTOM_DEPTH	MCD_OFFSET	CORE_RECOVERY	CORE_RECOVERY_PC	CORE_ONDECK	ORIENTED	LAST_SECTION	CORE_CATCHER	ANALYST	IGSN	REMARKS	
105	647	A	1	R	0	9.2	9.2	0	9.24	100.43	10/15/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	2	R	9.2	9.7	18.9	0	9.2	94.85	10/15/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	3	R	18.9	9.7	28.6	0	0	0	10/15/1985 12:00:00 AM	&nbsp;	99	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	4	R	28.6	9.5	38.1	0	9.84	103.58	10/16/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	5	R	38.1	10.5	48.6	0	0.3	2.86	10/16/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	6	R	48.6	9.7	58.3	0	9.17	94.54	10/16/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	7	R	58.3	9.7	68	0	9.63	99.28	10/16/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	8	R	68	9.6	77.6	0	3.93	40.94	10/16/1985 12:00:00 AM	&nbsp;	4	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	9	R	77.6	9.7	87.3	0	4.91	50.62	10/16/1985 12:00:00 AM	&nbsp;	5	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	10	R	87.3	9.7	97	0	6.57	67.73	10/16/1985 12:00:00 AM	&nbsp;	6	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	11	R	97	9.7	106.7	0	5.33	54.95	10/16/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	12	R	106.7	9.3	116	0	5.7	61.29	10/16/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	13	R	116	9.7	125.7	0	7.58	78.14	10/16/1985 12:00:00 AM	&nbsp;	6	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	14	R	125.7	9.7	135.4	0	3.4	35.05	10/16/1985 12:00:00 AM	&nbsp;	3	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	15	R	135.4	9.7	145.1	0	3.82	39.38	10/16/1985 12:00:00 AM	&nbsp;	3	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	16	R	145.1	9.7	154.8	0	3.4	35.05	10/16/1985 12:00:00 AM	&nbsp;	3	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
