XDIS-ASCII-Export of ASP.webview_samples_by_expedition_view_aspx, created on 11/15/2017 10:43:40 AM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION	CC	TOP_DEPTH	BOTTOM_DEPTH	VOLUME	MBSF_TOP	MCD_TOP	HALF	ANALYST	LOCATION	REQUEST	REQUEST_PART	TYPE	SAMPLE_DATE	SAMPLE	IGSN	REMARKS	SUBSAMPLES	
105	647	A	1	R	1	no	1	3	10	0.01	0.01	W	BD        	GCR	10314	A	----	11/25/1998 12:00:00 AM	3298028	&nbsp;	&nbsp;	0	
105	647	A	1	R	1	no	3	8	20	0.03	0.03	W	PAW       	ECR	16241	A	----	11/25/1998 12:00:00 AM	3303484	&nbsp;	&nbsp;	0	
105	647	A	1	R	1	no	10	12	10	0.1	0.1	W	KB        	ECR	15935	A	----	11/25/1998 12:00:00 AM	3303488	&nbsp;	.5cm shallower	0	
105	647	A	1	R	1	no	14	16	20	0.14	0.14	W	Firth     	GCR	MSP9999	A	PAL       	2/13/2003 12:00:00 AM	3306080	&nbsp;	&nbsp;	0	
105	647	A	1	R	1	no	30	32	10	0.3	0.3	W	KB        	ECR	15935	A	----	11/25/1998 12:00:00 AM	3303489	&nbsp;	&nbsp;	0	
105	647	A	1	R	1	no	40	41	4	0.4	0.4	W	YAS       	ECR	20877	A	----	2/14/2006 12:00:00 AM	3306525	&nbsp;	slight drilling disturbance (IR)	0	
105	647	A	1	R	1	no	45	46	4	0.45	0.45	W	YAS       	ECR	20877	A	----	2/14/2006 12:00:00 AM	3306526	&nbsp;	slight drilling disturbance (IR)	0	
105	647	A	1	R	1	no	49.5	50.5	4	0.495	0.495	W	YAS       	ECR	20877	A	----	2/14/2006 12:00:00 AM	3306527	&nbsp;	slight drilling disturbance (IR)	0	
105	647	A	1	R	1	no	55	56	4	0.55	0.55	W	YAS       	ECR	20877	A	----	2/14/2006 12:00:00 AM	3306528	&nbsp;	slight drilling disturbance (IR)	0	
105	647	A	1	R	1	no	56	58	10	0.56	0.56	W	KB        	ECR	15935	A	----	11/25/1998 12:00:00 AM	3303490	&nbsp;	&nbsp;	0	
105	647	A	1	R	1	no	58	64	25	0.58	0.58	W	BD        	GCR	10294	A	----	11/25/1998 12:00:00 AM	3298014	&nbsp;	&nbsp;	0	
105	647	A	1	R	1	no	60.5	61.5	4	0.605	0.605	W	YAS       	ECR	20877	A	----	2/14/2006 12:00:00 AM	3306529	&nbsp;	slight drilling disturbance (IR)	0	
105	647	A	1	R	1	no	64.5	65.5	4	0.645	0.645	W	YAS       	ECR	20877	A	----	2/14/2006 12:00:00 AM	3306530	&nbsp;	slight drilling disturbance (IR)	0	
