XDIS-ASCII-Export of ASP.webview_sections_view_aspx, created on 11/15/2017 10:51:35 AM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION_LABEL	INIT_LENGTH	REV_LENGTH	TOP_DEPTH	BOTTOM_DEPTH	MCD_TOP	ANALYST	IGSN	REMARKS	CC	
105	647	A	1	R	1	1.5	1.5	0	1.5	0	na	&nbsp;	GAS SAMPLE AT 143 CM.                        	no	
105	647	A	1	R	2	1.5	1.5	1.5	3	1.5	na	&nbsp;	(DB) 90-150CM VOID                           	no	
105	647	A	1	R	3	1.5	1.5	3	4.5	3	na	&nbsp;	VOID - NO MUD.                               	no	
105	647	A	1	R	4	1.5	1.5	4.5	6	4.5	na	&nbsp;	VOID - NO MUD.                               	no	
105	647	A	1	R	5	1.5	1.5	6	7.5	6	na	&nbsp;	I.W. FROM 140-150 CM INTEVAL.                	no	
105	647	A	1	R	6	1.5	1.5	7.5	9	7.5	na	&nbsp;	                                             	no	
105	647	A	1	R	7	0.17	0.17	9	9.17	9	na	&nbsp;	                                             	no	
105	647	A	1	R	CC	0.07	0.07	9.17	9.24	9.17	na	&nbsp;	                                             	yes	
105	647	A	2	R	1	1.5	1.5	9.2	10.7	9.2	na	&nbsp;	                                             	no	
105	647	A	2	R	2	1.5	1.5	10.7	12.2	10.7	na	&nbsp;	(DB) VOID 0-17 90-140CM                     	no	
105	647	A	2	R	3	1.5	1.5	12.2	13.7	12.2	na	&nbsp;	VOID - NO MUD.                               	no	
105	647	A	2	R	4	1.5	1.5	13.7	15.2	13.7	na	&nbsp;	VOID - NO MUD.                               	no	
105	647	A	2	R	5	1.5	1.5	15.2	16.7	15.2	na	&nbsp;	VOID - NO MUD.                               	no	
105	647	A	2	R	6	1.5	1.5	16.7	18.2	16.7	na	&nbsp;	                                             	no	
105	647	A	2	R	7	0.12	0.12	18.2	18.32	18.2	na	&nbsp;	                                             	no	
105	647	A	2	R	CC	0.08	0.08	18.32	18.4	18.32	na	&nbsp;	                                             	yes	
105	647	A	4	R	1	1.5	1.5	28.6	30.1	28.6	na	&nbsp;	                                             	no	
105	647	A	4	R	2	1.5	1.5	30.1	31.6	30.1	na	&nbsp;	                                             	no	
105	647	A	4	R	3	1.5	1.5	31.6	33.1	31.6	na	&nbsp;	OG 120-150 CM                                	no	
105	647	A	4	R	4	1.5	1.5	33.1	34.6	33.1	na	&nbsp;	(DB) VOID 10-35CM                            	no	
105	647	A	4	R	5	1.5	1.5	34.6	36.1	34.6	na	&nbsp;	(DB) VOID 0-20 140-150CM                    	no	
