XDIS-ASCII-Export of ASP.webview_cores_view_aspx, created on 11/16/2017 1:19:19 PM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	TOP_DEPTH	DRILLED_LENGTH	BOTTOM_DEPTH	MCD_OFFSET	CORE_RECOVERY	CORE_RECOVERY_PC	CORE_ONDECK	ORIENTED	LAST_SECTION	CORE_CATCHER	ANALYST	IGSN	REMARKS	
208	1264	A	1	H	0	9.3	9.3	2.96	9.35	100.54	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	2	H	9.3	9.5	18.8	4.33	9.84	103.58	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	3	H	18.8	9.5	28.3	5.89	9.54	100.42	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Tensor in @ 16:05 Hrs                                                                                                                                                                                                                                          	
208	1264	A	4	H	28.3	9.5	37.8	7.06	9.78	102.95	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	5	H	37.8	9.5	47.3	8.35	9.8	103.16	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	6	H	47.3	9.5	56.8	10.41	8.99	94.63	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	7	H	56.8	9.5	66.3	11.44	10.05	105.79	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	8	H	66.3	9.5	75.8	13.12	9.52	100.21	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	9	H	75.8	9.5	85.3	14.37	9.05	95.26	4/5/2003 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	10	H	85.3	9.5	94.8	16.31	9.08	95.58	4/5/2003 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	11	H	94.8	9.5	104.3	16.61	10	105.26	4/5/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	12	H	104.3	9.5	113.8	17.25	10.03	105.58	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Tensor On @ 23:50 Hrs.                                                                                                                                                                                                                                         	
208	1264	A	13	H	113.8	9.5	123.3	18.84	9.43	99.26	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	14	H	123.3	9.5	132.8	18.89	9.65	101.58	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	15	H	132.8	9.5	142.3	19.84	9.37	98.63	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill over.                                                                                                                                                                                                                                                    	
208	1264	A	16	H	142.3	9.5	151.8	19.84	9.88	104	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill over.                                                                                                                                                                                                                                                    	
208	1264	A	17	H	151.8	9.5	161.3	21.39	9.45	99.47	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill over.                                                                                                                                                                                                                                                    	
208	1264	A	18	H	161.3	9.5	170.8	21.92	9.73	102.42	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill over.Tensor in @ 07:40 hrs.                                                                                                                                                                                                                              	
208	1264	A	19	H	170.8	9.5	180.3	23.91	9.01	94.84	4/6/2003 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	Drill Over.                                                                                                                                                                                                                                                    	
208	1264	A	20	H	180.3	9.5	189.8	24.89	9.92	104.42	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	21	H	189.8	9.5	199.3	25.95	9.07	95.47	4/6/2003 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	22	H	199.3	9.5	208.8	26.97	9.67	101.79	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	23	H	208.8	9.5	218.3	27.84	9.57	100.74	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill Over                                                                                                                                                                                                                                                     	
208	1264	A	24	H	218.3	9.5	227.8	29.4	10	105.26	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill Over                                                                                                                                                                                                                                                     	
208	1264	A	25	H	227.8	9.5	237.3	30.78	4.11	43.26	4/6/2003 12:00:00 AM	&nbsp;	4	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
208	1264	A	26	H	237.3	9.5	246.8	31.65	8.96	94.32	4/6/2003 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	Tensor out @ 14:50 Hrs                                                                                                                                                                                                                                         	
208	1264	A	27	H	246.8	9.5	256.3	32.5	2.86	30.11	4/6/2003 12:00:00 AM	&nbsp;	3	yes	na	&nbsp;	Tensor in @ 14:50 Hrs                                                                                                                                                                                                                                          	
208	1264	A	28	H	256.3	5.4	261.7	33.72	5.47	101.3	4/6/2003 12:00:00 AM	&nbsp;	5	yes	na	&nbsp;	Drill Over                                                                                                                                                                                                                                                     	
208	1264	A	29	H	261.7	9.5	271.2	34.61	9.82	103.37	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill Over                                                                                                                                                                                                                                                     	
208	1264	A	30	H	271.2	9.5	280.7	35.61	9.71	102.21	4/6/2003 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	Drill Over                                                                                                                                                                                                                                                     	
208	1264	B	1	H	0	7.3	7.3	0	7.38	101.1	4/6/2003 12:00:00 AM	&nbsp;	6	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
