XDIS-ASCII-Export of ASP.webview_samples_by_expedition_view_aspx, created on 11/16/2017 1:21:15 PM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION	CC	TOP_DEPTH	BOTTOM_DEPTH	VOLUME	MBSF_TOP	MCD_TOP	HALF	ANALYST	LOCATION	REQUEST	REQUEST_PART	TYPE	SAMPLE_DATE	SAMPLE	IGSN	REMARKS	SUBSAMPLES	
208	1264	A	1	H	1	no	0	2	15	0	2.96	W	 cur      	SHI	MSP9999	A	PAL       	4/6/2003 12:00:00 AM	4144306	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	3	5.5	40	0.03	2.99	W	AW	BCR	041033IODP	A	---	6/30/2016 12:00:00 AM	5004624	IBCR0208RXCL9Z3	&nbsp;	0	
208	1264	A	1	H	1	no	5	7	30	0.05	3.01	W	NR	BCR	048358IODP	A	---	2/3/2017 12:00:00 AM	5026683	IBCR0208RX3MQZ3	&nbsp;	0	
208	1264	A	1	H	1	no	32	34	10	0.32	3.28	W	 cur      	SHI	18467	A	----	4/6/2003 12:00:00 AM	4144251	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	32	34	10	0.32	3.28	W	 cur      	SHI	18361	A	----	4/6/2003 12:00:00 AM	4144252	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	88	90	8	0.88	3.84	W	Julie Bowl	SHI	MSP9999	A	PMAG      	4/6/2003 12:00:00 AM	4144234	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	95	97	10	0.95	3.91	W	SF	BCR	22086	A	---	7/21/2010 12:00:00 AM	4406549	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	99.5	100.5	15	0.995	3.955	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152879	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	100	102	10	1	3.96	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350420	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	100	102	10	1	3.96	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4378786	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	102	103	15	1.02	3.98	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152880	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	104.5	105.5	15	1.045	4.005	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152881	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	106	108	10	1.06	4.02	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4378787	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	106	108	10	1.06	4.02	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350421	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	107	108	15	1.07	4.03	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152882	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	109.5	110.5	15	1.095	4.055	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152883	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	112	114	10	1.12	4.08	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350422	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	112	114	10	1.12	4.08	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4378788	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	112	113	15	1.12	4.08	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152884	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	113	114	2	1.13	4.09	W	 cur      	SHI	MSP9999	A	CARB      	4/6/2003 12:00:00 AM	4144253	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	114	116	10	1.14	4.1	W	Ja Hun Jun	SHI	MSP9999	A	PP        	4/6/2003 12:00:00 AM	4144229	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	114.5	115.5	15	1.145	4.105	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152885	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	117	118	15	1.17	4.13	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152886	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	118	120	10	1.18	4.14	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4378789	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	118	120	10	1.18	4.14	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350423	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	119.5	120.5	15	1.195	4.155	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152887	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	122	123	15	1.22	4.18	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152888	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	124	126	10	1.24	4.2	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350424	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	124	126	10	1.24	4.2	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4378790	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	124.5	125.5	15	1.245	4.205	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152889	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	127	128	15	1.27	4.23	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152890	&nbsp;	&nbsp;	0	
208	1264	A	1	H	1	no	129.5	130.5	15	1.295	4.255	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4152891	&nbsp;	&nbsp;	0	
