XDIS-ASCII-Export of ASP.webview_samples_by_expedition_view_aspx, created on 11/16/2017 1:21:42 PM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION	CC	TOP_DEPTH	BOTTOM_DEPTH	VOLUME	MBSF_TOP	MCD_TOP	HALF	ANALYST	LOCATION	REQUEST	REQUEST_PART	TYPE	SAMPLE_DATE	SAMPLE	IGSN	REMARKS	SUBSAMPLES	
208	1264	B	1	H	1	no	0	2	10	0	0	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350696	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	0	2	10	0	0	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4379062	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	0	2	20	0	0	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180418	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	1	3	10	0.01	0.01	A	SF	BCR	22086	A	---	7/21/2010 12:00:00 AM	4406544	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	2	3	15	0.02	0.02	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153443	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	3	9	5	0.03	0.03	W	CW	BCR	22853	A	---	4/23/2013 12:00:00 AM	4851133	&nbsp;	large interval section nearly depleted	0	
208	1264	B	1	H	1	no	3	4.5	20	0.03	0.03	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180419	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	4.5	5.5	15	0.045	0.045	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153444	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	5	7	10	0.05	0.05	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350697	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	5	7	10	0.05	0.05	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4379063	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	5.5	7	20	0.055	0.055	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180420	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	7	8	15	0.07	0.07	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153445	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	8	9.5	20	0.08	0.08	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180421	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	9.5	10.5	15	0.095	0.095	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153446	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	10	12	10	0.1	0.1	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350698	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	10	12	10	0.1	0.1	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4379064	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	10.5	12	20	0.105	0.105	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180422	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	12	13	15	0.12	0.12	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153447	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	13	14.5	20	0.13	0.13	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180423	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	14.5	15.5	15	0.145	0.145	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153448	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	15	17	10	0.15	0.15	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350699	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	15	17	10	0.15	0.15	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4379065	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	15.5	17	20	0.155	0.155	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180424	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	17	18	15	0.17	0.17	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153449	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	18	19.5	20	0.18	0.18	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180425	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	19.5	20.5	15	0.195	0.195	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153450	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	20	22	10	0.2	0.2	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4379066	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	20	22	10	0.2	0.2	A	WH	BCR	21738	A	----	8/21/2009 12:00:00 AM	4350700	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	20.5	22	20	0.205	0.205	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180426	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	22	23	15	0.22	0.22	W	CUR       	BCR	18589	A	----	8/5/2003 12:00:00 AM	4153451	&nbsp;	&nbsp;	0	
208	1264	B	1	H	1	no	23	24.5	20	0.23	0.23	W	JS        	BCR	20525	A	----	9/20/2005 12:00:00 AM	4180427	&nbsp;	&nbsp;	0	
