XDIS-ASCII-Export of ASP.webview_sections_view_aspx, created on 11/16/2017 1:20:38 PM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION_LABEL	INIT_LENGTH	REV_LENGTH	TOP_DEPTH	BOTTOM_DEPTH	MCD_TOP	ANALYST	IGSN	REMARKS	CC	
208	1264	B	1	H	1	1.5	1.5	0	1.5	0	na	&nbsp;	                                             	no	
208	1264	B	1	H	2	1.5	1.5	1.5	3	1.5	na	&nbsp;	                                             	no	
208	1264	B	1	H	3	1.5	1.5	3	4.5	3	na	&nbsp;	                                             	no	
208	1264	B	1	H	4	1.5	1.5	4.5	6	4.5	na	&nbsp;	                                             	no	
208	1264	B	1	H	5	1.26	1.26	6	7.26	6	na	&nbsp;	                                             	no	
208	1264	B	1	H	CC	0.12	0.12	7.26	7.38	7.26	na	&nbsp;	                                             	yes	
208	1264	B	2	H	1	1.5	1.5	7.3	8.8	8.41	na	&nbsp;	                                             	no	
208	1264	B	2	H	2	1.5	1.5	8.8	10.3	9.91	na	&nbsp;	                                             	no	
208	1264	B	2	H	3	1.5	1.5	10.3	11.8	11.41	na	&nbsp;	                                             	no	
208	1264	B	2	H	4	1.5	1.5	11.8	13.3	12.91	na	&nbsp;	                                             	no	
208	1264	B	2	H	5	1.5	1.5	13.3	14.8	14.41	na	&nbsp;	                                             	no	
208	1264	B	2	H	6	1.5	1.5	14.8	16.3	15.91	na	&nbsp;	                                             	no	
208	1264	B	2	H	7	0.78	0.78	16.3	17.08	17.41	na	&nbsp;	                                             	no	
208	1264	B	2	H	CC	0.1	0.1	17.08	17.18	18.19	na	&nbsp;	                                             	yes	
208	1264	B	3	H	1	1.5	1.5	16.8	18.3	19.61	na	&nbsp;	                                             	no	
208	1264	B	3	H	2	1.5	1.5	18.3	19.8	21.11	na	&nbsp;	                                             	no	
208	1264	B	3	H	3	1.5	1.5	19.8	21.3	22.61	na	&nbsp;	                                             	no	
208	1264	B	3	H	4	1.48	1.48	21.3	22.78	24.11	na	&nbsp;	                                             	no	
208	1264	B	3	H	5	1.5	1.5	22.78	24.28	25.59	na	&nbsp;	                                             	no	
208	1264	B	3	H	6	1.5	1.5	24.28	25.78	27.09	na	&nbsp;	                                             	no	
208	1264	B	3	H	7	0.8	0.8	25.78	26.58	28.59	na	&nbsp;	                                             	no	
208	1264	B	3	H	CC	0.14	0.14	26.58	26.72	29.39	na	&nbsp;	                                             	yes	
208	1264	B	4	H	1	1.5	1.5	26.3	27.8	29.75	na	&nbsp;	                                             	no	
208	1264	B	4	H	2	1.5	1.5	27.8	29.3	31.25	na	&nbsp;	                                             	no	
208	1264	B	4	H	3	1.5	1.5	29.3	30.8	32.75	na	&nbsp;	                                             	no	
208	1264	B	4	H	4	1.5	1.5	30.8	32.3	34.25	na	&nbsp;	                                             	no	
208	1264	B	4	H	5	1.5	1.5	32.3	33.8	35.75	na	&nbsp;	                                             	no	
208	1264	B	4	H	6	1.5	1.5	33.8	35.3	37.25	na	&nbsp;	                                             	no	
208	1264	B	4	H	7	0.65	0.65	35.3	35.95	38.75	na	&nbsp;	                                             	no	
208	1264	B	4	H	CC	0.16	0.16	35.95	36.11	39.4	na	&nbsp;	                                             	yes	
208	1264	B	5	H	1	1.5	1.5	35.8	37.3	39.82	na	&nbsp;	                                             	no	
208	1264	B	5	H	2	1.5	1.5	37.3	38.8	41.32	na	&nbsp;	                                             	no	
208	1264	B	5	H	3	1.5	1.5	38.8	40.3	42.82	na	&nbsp;	                                             	no	
208	1264	B	5	H	4	1.5	1.5	40.3	41.8	44.32	na	&nbsp;	                                             	no	
208	1264	B	5	H	5	1.5	1.5	41.8	43.3	45.82	na	&nbsp;	                                             	no	
208	1264	B	5	H	6	1.5	1.5	43.3	44.8	47.32	na	&nbsp;	                                             	no	
208	1264	B	5	H	7	0.64	0.64	44.8	45.44	48.82	na	&nbsp;	                                             	no	
208	1264	B	5	H	CC	0.1	0.1	45.44	45.54	49.46	na	&nbsp;	                                             	yes	
208	1264	B	6	H	1	1.5	1.5	45.3	46.8	51.03	na	&nbsp;	                                             	no	
208	1264	B	6	H	2	1.5	1.5	46.8	48.3	52.53	na	&nbsp;	                                             	no	
208	1264	B	6	H	3	1.5	1.5	48.3	49.8	54.03	na	&nbsp;	                                             	no	
208	1264	B	6	H	4	1.5	1.5	49.8	51.3	55.53	na	&nbsp;	                                             	no	
208	1264	B	6	H	5	1.5	1.5	51.3	52.8	57.03	na	&nbsp;	                                             	no	
208	1264	B	6	H	6	1.5	1.5	52.8	54.3	58.53	na	&nbsp;	                                             	no	
208	1264	B	6	H	7	0.53	0.53	54.3	54.83	60.03	na	&nbsp;	                                             	no	
208	1264	B	6	H	CC	0.16	0.16	54.83	54.99	60.56	na	&nbsp;	                                             	yes	
208	1264	B	7	H	1	1.5	1.5	54.8	56.3	61.29	na	&nbsp;	                                             	no	
208	1264	B	7	H	2	1.5	1.5	56.3	57.8	62.79	na	&nbsp;	                                             	no	
208	1264	B	7	H	3	1.5	1.5	57.8	59.3	64.29	na	&nbsp;	                                             	no	
208	1264	B	7	H	4	1.5	1.5	59.3	60.8	65.79	na	&nbsp;	                                             	no	
208	1264	B	7	H	5	1.5	1.5	60.8	62.3	67.29	na	&nbsp;	                                             	no	
208	1264	B	7	H	6	1.5	1.5	62.3	63.8	68.79	na	&nbsp;	                                             	no	
208	1264	B	7	H	7	0.56	0.56	63.8	64.36	70.29	na	&nbsp;	                                             	no	
208	1264	B	7	H	CC	0.1	0.1	64.36	64.46	70.85	na	&nbsp;	0/0                                          	yes	
208	1264	B	8	H	1	1.5	1.5	64.3	65.8	72.31	na	&nbsp;	                                             	no	
208	1264	B	8	H	2	1.5	1.5	65.8	67.3	73.81	na	&nbsp;	                                             	no	
208	1264	B	8	H	3	1.5	1.5	67.3	68.8	75.31	na	&nbsp;	                                             	no	
208	1264	B	8	H	4	1.5	1.5	68.8	70.3	76.81	na	&nbsp;	                                             	no	
208	1264	B	8	H	5	1.5	1.5	70.3	71.8	78.31	na	&nbsp;	                                             	no	
208	1264	B	8	H	6	1.5	1.5	71.8	73.3	79.81	na	&nbsp;	                                             	no	
208	1264	B	8	H	7	0.42	0.42	73.3	73.72	81.31	na	&nbsp;	                                             	no	
208	1264	B	8	H	CC	0.22	0.22	73.72	73.94	81.73	na	&nbsp;	                                             	yes	
208	1264	B	9	H	1	1.5	1.5	73.8	75.3	82.86	na	&nbsp;	                                             	no	
208	1264	B	9	H	2	1.5	1.5	75.3	76.8	84.36	na	&nbsp;	                                             	no	
208	1264	B	9	H	3	1.5	1.5	76.8	78.3	85.86	na	&nbsp;	                                             	no	
208	1264	B	9	H	4	1.5	1.5	78.3	79.8	87.36	na	&nbsp;	                                             	no	
208	1264	B	9	H	5	1.5	1.5	79.8	81.3	88.86	na	&nbsp;	                                             	no	
208	1264	B	9	H	6	1.5	1.5	81.3	82.8	90.36	na	&nbsp;	                                             	no	
208	1264	B	9	H	7	0.78	0.78	82.8	83.58	91.86	na	&nbsp;	                                             	no	
208	1264	B	9	H	CC	0.15	0.15	83.58	83.73	92.64	na	&nbsp;	                                             	yes	
208	1264	B	10	H	1	1.5	1.5	83.3	84.8	93.6	na	&nbsp;	                                             	no	
208	1264	B	10	H	2	1.5	1.5	84.8	86.3	95.1	na	&nbsp;	                                             	no	
208	1264	B	10	H	3	1.5	1.5	86.3	87.8	96.6	na	&nbsp;	                                             	no	
208	1264	B	10	H	4	1.5	1.5	87.8	89.3	98.1	na	&nbsp;	                                             	no	
208	1264	B	10	H	5	1.39	1.39	89.3	90.69	99.6	na	&nbsp;	                                             	no	
208	1264	B	10	H	6	1.5	1.5	90.69	92.19	100.99	na	&nbsp;	                                             	no	
208	1264	B	10	H	7	0.87	0.87	92.19	93.06	102.49	na	&nbsp;	                                             	no	
208	1264	B	10	H	CC	0.22	0.22	93.06	93.28	103.36	na	&nbsp;	                                             	yes	
208	1264	B	11	H	1	0.81	0.81	92.8	93.61	104.21	na	&nbsp;	                                             	no	
208	1264	B	11	H	2	1.5	1.5	93.61	95.11	105.02	na	&nbsp;	                                             	no	
208	1264	B	11	H	3	1.5	1.5	95.11	96.61	106.52	na	&nbsp;	                                             	no	
208	1264	B	11	H	4	1.5	1.5	96.61	98.11	108.02	na	&nbsp;	                                             	no	
208	1264	B	11	H	5	1.5	1.5	98.11	99.61	109.52	na	&nbsp;	                                             	no	
208	1264	B	11	H	6	1.5	1.5	99.61	101.11	111.02	na	&nbsp;	                                             	no	
208	1264	B	11	H	7	1	1	101.11	102.11	112.52	na	&nbsp;	                                             	no	
208	1264	B	11	H	8	0.59	0.59	102.11	102.7	113.52	na	&nbsp;	                                             	no	
208	1264	B	11	H	CC	0.15	0.15	102.7	102.85	114.11	na	&nbsp;	                                             	yes	
208	1264	B	12	H	1	0.53	0.53	102.3	102.83	116.02	na	&nbsp;	                                             	no	
208	1264	B	12	H	2	1.5	1.5	102.83	104.33	116.55	na	&nbsp;	                                             	no	
208	1264	B	12	H	3	1.5	1.5	104.33	105.83	118.05	na	&nbsp;	                                             	no	
208	1264	B	12	H	4	1.5	1.5	105.83	107.33	119.55	na	&nbsp;	                                             	no	
208	1264	B	12	H	5	1.5	1.5	107.33	108.83	121.05	na	&nbsp;	                                             	no	
208	1264	B	12	H	6	1.5	1.5	108.83	110.33	122.55	na	&nbsp;	                                             	no	
208	1264	B	12	H	7	1.21	1.21	110.33	111.54	124.05	na	&nbsp;	                                             	no	
208	1264	B	12	H	CC	0.16	0.16	111.54	111.7	125.26	na	&nbsp;	                                             	yes	
208	1264	B	13	H	1	1.5	1.5	111.8	113.3	126.57	na	&nbsp;	                                             	no	
208	1264	B	13	H	2	1.5	1.5	113.3	114.8	128.07	na	&nbsp;	                                             	no	
208	1264	B	13	H	3	1.5	1.5	114.8	116.3	129.57	na	&nbsp;	                                             	no	
208	1264	B	13	H	4	1.5	1.5	116.3	117.8	131.07	na	&nbsp;	                                             	no	
208	1264	B	13	H	5	1.5	1.5	117.8	119.3	132.57	na	&nbsp;	                                             	no	
208	1264	B	13	H	6	1	1	119.3	120.3	134.07	na	&nbsp;	                                             	no	
208	1264	B	13	H	7	0.71	0.71	120.3	121.01	135.07	na	&nbsp;	                                             	no	
208	1264	B	13	H	CC	0.15	0.15	121.01	121.16	135.78	na	&nbsp;	                                             	yes	
208	1264	B	14	H	1	1.5	1.5	121.3	122.8	137.53	na	&nbsp;	                                             	no	
208	1264	B	14	H	2	1.5	1.5	122.8	124.3	139.03	na	&nbsp;	                                             	no	
208	1264	B	14	H	3	1.5	1.5	124.3	125.8	140.53	na	&nbsp;	                                             	no	
208	1264	B	14	H	4	1.5	1.5	125.8	127.3	142.03	na	&nbsp;	                                             	no	
208	1264	B	14	H	5	1.5	1.5	127.3	128.8	143.53	na	&nbsp;	                                             	no	
208	1264	B	14	H	6	1.5	1.5	128.8	130.3	145.03	na	&nbsp;	                                             	no	
208	1264	B	14	H	7	0.88	0.88	130.3	131.18	146.53	na	&nbsp;	                                             	no	
208	1264	B	14	H	CC	0.15	0.15	131.18	131.33	147.41	na	&nbsp;	                                             	yes	
208	1264	B	15	H	1	1.5	1.5	130.8	132.3	147.94	na	&nbsp;	                                             	no	
208	1264	B	15	H	2	1.5	1.5	132.3	133.8	149.44	na	&nbsp;	                                             	no	
208	1264	B	15	H	3	1.5	1.5	133.8	135.3	150.94	na	&nbsp;	                                             	no	
208	1264	B	15	H	4	1.5	1.5	135.3	136.8	152.44	na	&nbsp;	                                             	no	
208	1264	B	15	H	5	1.5	1.5	136.8	138.3	153.94	na	&nbsp;	                                             	no	
208	1264	B	15	H	6	1	1	138.3	139.3	155.44	na	&nbsp;	                                             	no	
208	1264	B	15	H	7	0.84	0.84	139.3	140.14	156.44	na	&nbsp;	0/0                                          	no	
208	1264	B	15	H	CC	0.1	0.1	140.14	140.24	157.28	na	&nbsp;	All to PAL                                   	yes	
208	1264	B	16	H	1	1.5	1.5	140.3	141.8	158.64	na	&nbsp;	                                             	no	
208	1264	B	16	H	2	1.5	1.5	141.8	143.3	160.14	na	&nbsp;	                                             	no	
208	1264	B	16	H	3	1.5	1.5	143.3	144.8	161.64	na	&nbsp;	                                             	no	
208	1264	B	16	H	4	1.5	1.5	144.8	146.3	163.14	na	&nbsp;	                                             	no	
208	1264	B	16	H	5	1.5	1.5	146.3	147.8	164.64	na	&nbsp;	                                             	no	
208	1264	B	16	H	6	1.2	1.2	147.8	149	166.14	na	&nbsp;	                                             	no	
208	1264	B	16	H	7	0.75	0.75	149	149.75	167.34	na	&nbsp;	                                             	no	
208	1264	B	16	H	CC	0.12	0.12	149.75	149.87	168.09	na	&nbsp;	                                             	yes	
208	1264	B	17	H	1	1.5	1.5	149.8	151.3	168.39	na	&nbsp;	                                             	no	
208	1264	B	17	H	2	1.5	1.5	151.3	152.8	169.89	na	&nbsp;	                                             	no	
208	1264	B	17	H	3	1.5	1.5	152.8	154.3	171.39	na	&nbsp;	                                             	no	
208	1264	B	17	H	4	1.5	1.5	154.3	155.8	172.89	na	&nbsp;	                                             	no	
208	1264	B	17	H	5	1.5	1.5	155.8	157.3	174.39	na	&nbsp;	                                             	no	
208	1264	B	17	H	6	1	1	157.3	158.3	175.89	na	&nbsp;	                                             	no	
